Elapsed time: 4s, Estimated unique users: 59
Elapsed time: 8s, Estimated unique users: 138
Elapsed time: 12s, Estimated unique users: 216
Elapsed time: 16s, Estimated unique users: 294
Elapsed time: 20s, Estimated unique users: 372
Elapsed time: 24s, Estimated unique users: 450
Elapsed time: 28s, Estimated unique users: 528
Elapsed time: 32s, Estimated unique users: 606
Elapsed time: 36s, Estimated unique users: 684
Elapsed time: 40s, Estimated unique users: 762
Elapsed time: 44s, Estimated unique users: 840
Elapsed time: 48s, Estimated unique users: 918
Elapsed time: 52s, Estimated unique users: 996
Elapsed time: 56s, Estimated unique users: 1074
Elapsed time: 60s, Estimated unique users: 1151
Elapsed time: 64s, Estimated unique users: 1229
Elapsed time: 68s, Estimated unique users: 1307
Elapsed time: 72s, Estimated unique users: 1385
Elapsed time: 76s, Estimated unique users: 1463
Elapsed time: 80s, Estimated unique users: 1541
Elapsed time: 84s, Estimated unique users: 1619
Elapsed time: 88s, Estimated unique users: 1697
Elapsed time: 92s, Estimated unique users: 1775
Elapsed time: 96s, Estimated unique users: 1853
Elapsed time: 100s, Estimated unique users: 1931
Elapsed time: 104s, Estimated unique users: 2009
Elapsed time: 108s, Estimated unique users: 2087
Elapsed time: 112s, Estimated unique users: 2164
Elapsed time: 116s, Estimated unique users: 2243
Elapsed time: 120s, Estimated unique users: 2320
Elapsed time: 124s, Estimated unique users: 2398
Elapsed time: 128s, Estimated unique users: 2476
Elapsed time: 132s, Estimated unique users: 2554
Elapsed time: 136s, Estimated unique users: 2631
Elapsed time: 140s, Estimated unique users: 2709
Elapsed time: 144s, Estimated unique users: 2787
Elapsed time: 148s, Estimated unique users: 2865
Elapsed time: 152s, Estimated unique users: 2942
Elapsed time: 156s, Estimated unique users: 3020
Elapsed time: 160s, Estimated unique users: 3098
Elapsed time: 164s, Estimated unique users: 3175
Elapsed time: 168s, Estimated unique users: 3253
Elapsed time: 172s, Estimated unique users: 3331
Elapsed time: 176s, Estimated unique users: 3408
Elapsed time: 180s, Estimated unique users: 3486
Elapsed time: 184s, Estimated unique users: 3564
Elapsed time: 188s, Estimated unique users: 3641
Elapsed time: 192s, Estimated unique users: 3719
Elapsed time: 196s, Estimated unique users: 3797
Elapsed time: 200s, Estimated unique users: 3875
Elapsed time: 204s, Estimated unique users: 3953
Elapsed time: 208s, Estimated unique users: 4030
Elapsed time: 212s, Estimated unique users: 4108
Elapsed time: 216s, Estimated unique users: 4185
Elapsed time: 220s, Estimated unique users: 4263
Elapsed time: 224s, Estimated unique users: 4341
Elapsed time: 228s, Estimated unique users: 4419
Elapsed time: 232s, Estimated unique users: 4497
Elapsed time: 236s, Estimated unique users: 4574
Elapsed time: 240s, Estimated unique users: 4652
Elapsed time: 244s, Estimated unique users: 4730
Elapsed time: 248s, Estimated unique users: 4808
Elapsed time: 252s, Estimated unique users: 4885
Elapsed time: 256s, Estimated unique users: 4963
Elapsed time: 260s, Estimated unique users: 5040
Elapsed time: 264s, Estimated unique users: 5118
Elapsed time: 268s, Estimated unique users: 5195
Elapsed time: 272s, Estimated unique users: 5273
Elapsed time: 276s, Estimated unique users: 5351
Elapsed time: 280s, Estimated unique users: 5429
Elapsed time: 284s, Estimated unique users: 5507
Elapsed time: 288s, Estimated unique users: 5584
Elapsed time: 292s, Estimated unique users: 5662
Elapsed time: 296s, Estimated unique users: 5740
Elapsed time: 300s, Estimated unique users: 5817
Elapsed time: 304s, Estimated unique users: 5895
Elapsed time: 308s, Estimated unique users: 5973
Elapsed time: 312s, Estimated unique users: 6001
