Total Elapsed Time, Estimated Unique Users
5, 78
10, 175
15, 272
20, 369
25, 467
30, 566
35, 663
40, 761
45, 861
50, 958
55, 1056
60, 1155
65, 1254
70, 1350
75, 1445
80, 1543
85, 1647
90, 1744
95, 1842
100, 1944
105, 2040
110, 2136
115, 2230
120, 2337
125, 2438
130, 2537
135, 2636
140, 2739
145, 2836
150, 2936
155, 3030
160, 3124
165, 3223
170, 3318
175, 3413
180, 3508
185, 3603
190, 3708
195, 3809
200, 3899
205, 3999
210, 4098
215, 4195
220, 4299
225, 4391
230, 4487
235, 4586
240, 4683
245, 4776
250, 4877
255, 4969
260, 4984
